Symbol,Security,GICS Sector,GICS Sub-Industry
EXR,EXR,Unknown,Unknown
F,F,Unknown,Unknown
FANG,FANG,Unknown,Unknown
FAST,FAST,Unknown,Unknown
FCX,FCX,Unknown,Unknown
FDS,FDS,Unknown,Unknown
FDX,FDX,Unknown,Unknown
FE,FE,Unknown,Unknown
FFIV,FFIV,Unknown,Unknown
FI,FI,Unknown,Unknown
FICO,FICO,Unknown,Unknown
FIS,FIS,Unknown,Unknown
FITB,FITB,Unknown,Unknown
FMC,FMC,Unknown,Unknown
FOX,FOX,Unknown,Unknown
FOXA,FOXA,Unknown,Unknown
FRT,FRT,Unknown,Unknown
FSLR,FSLR,Unknown,Unknown
FTNT,FTNT,Unknown,Unknown
FTV,FTV,Unknown,Unknown
GD,GD,Unknown,Unknown
GDDY,GDDY,Unknown,Unknown
GE,GE,Unknown,Unknown
GEHC,GEHC,Unknown,Unknown
GEN,GEN,Unknown,Unknown
GEV,GEV,Unknown,Unknown
GILD,GILD,Unknown,Unknown
GIS,GIS,Unknown,Unknown
GL,GL,Unknown,Unknown
GLW,GLW,Unknown,Unknown
GM,GM,Unknown,Unknown
GNRC,GNRC,Unknown,Unknown
GOOG,GOOG,Unknown,Unknown
GOOGL,GOOGL,Unknown,Unknown
GPC,GPC,Unknown,Unknown
GPN,GPN,Unknown,Unknown
GRMN,GRMN,Unknown,Unknown
GS,GS,Unknown,Unknown
GWW,GWW,Unknown,Unknown
HAL,HAL,Unknown,Unknown
HAS,HAS,Unknown,Unknown
HBAN,HBAN,Unknown,Unknown
HCA,HCA,Unknown,Unknown
HD,HD,Unknown,Unknown
HES,HES,Unknown,Unknown
HIG,HIG,Unknown,Unknown
HII,HII,Unknown,Unknown
HLT,HLT,Unknown,Unknown
HOLX,HOLX,Unknown,Unknown
HON,HON,Unknown,Unknown
HPE,HPE,Unknown,Unknown
HPQ,HPQ,Unknown,Unknown
HRL,HRL,Unknown,Unknown
HSIC,HSIC,Unknown,Unknown
HST,HST,Unknown,Unknown
HSY,HSY,Unknown,Unknown
HUBB,HUBB,Unknown,Unknown
HUM,HUM,Unknown,Unknown
HWM,HWM,Unknown,Unknown
IBM,IBM,Unknown,Unknown
ICE,ICE,Unknown,Unknown
IDXX,IDXX,Unknown,Unknown
IEX,IEX,Unknown,Unknown
IFF,IFF,Unknown,Unknown
INCY,INCY,Unknown,Unknown
INTU,INTU,Unknown,Unknown
INVH,INVH,Unknown,Unknown
IP,IP,Unknown,Unknown
IPG,IPG,Unknown,Unknown
IQV,IQV,Unknown,Unknown
IR,IR,Unknown,Unknown
IRM,IRM,Unknown,Unknown
ISRG,ISRG,Unknown,Unknown
IT,IT,Unknown,Unknown
ITW,ITW,Unknown,Unknown
IVZ,IVZ,Unknown,Unknown
J,J,Unknown,Unknown
JBL,JBL,Unknown,Unknown
JCI,JCI,Unknown,Unknown
JKHY,JKHY,Unknown,Unknown
JNJ,JNJ,Unknown,Unknown
JNPR,JNPR,Unknown,Unknown
JPM,JPM,Unknown,Unknown
K,K,Unknown,Unknown
KDP,KDP,Unknown,Unknown
KEY,KEY,Unknown,Unknown
KEYS,KEYS,Unknown,Unknown
KHC,KHC,Unknown,Unknown
KIM,KIM,Unknown,Unknown
KKR,KKR,Unknown,Unknown
KLAC,KLAC,Unknown,Unknown
KMB,KMB,Unknown,Unknown
KMI,KMI,Unknown,Unknown
KMX,KMX,Unknown,Unknown
KO,KO,Unknown,Unknown
KR,KR,Unknown,Unknown
KVUE,KVUE,Unknown,Unknown
L,L,Unknown,Unknown
LDOS,LDOS,Unknown,Unknown
LEN,LEN,Unknown,Unknown
LH,LH,Unknown,Unknown
LHX,LHX,Unknown,Unknown
LIN,LIN,Unknown,Unknown
LKQ,LKQ,Unknown,Unknown
LLY,LLY,Unknown,Unknown
LMT,LMT,Unknown,Unknown
LNT,LNT,Unknown,Unknown
LOW,LOW,Unknown,Unknown
LRCX,LRCX,Unknown,Unknown
LULU,LULU,Unknown,Unknown
LUV,LUV,Unknown,Unknown
LVS,LVS,Unknown,Unknown
LW,LW,Unknown,Unknown
LYB,LYB,Unknown,Unknown
LYV,LYV,Unknown,Unknown
MA,MA,Unknown,Unknown
MAA,MAA,Unknown,Unknown
MAR,MAR,Unknown,Unknown
MAS,MAS,Unknown,Unknown
MCD,MCD,Unknown,Unknown
MCHP,MCHP,Unknown,Unknown
MCK,MCK,Unknown,Unknown
MCO,MCO,Unknown,Unknown
MDLZ,MDLZ,Unknown,Unknown
MDT,MDT,Unknown,Unknown
MET,MET,Unknown,Unknown
META,META,Unknown,Unknown
MGM,MGM,Unknown,Unknown
MHK,MHK,Unknown,Unknown
MKC,MKC,Unknown,Unknown
MKTX,MKTX,Unknown,Unknown
MLM,MLM,Unknown,Unknown
MMC,MMC,Unknown,Unknown
MMM,MMM,Unknown,Unknown
MNST,MNST,Unknown,Unknown
MO,MO,Unknown,Unknown
MOH,MOH,Unknown,Unknown
MOS,MOS,Unknown,Unknown
MPC,MPC,Unknown,Unknown
